tag:STRING|delta:INT
Pray_IV_Reign|10
Da_REAList|14
Planet_Drum|16
No_Stress|9
They_Dance_Alone|12
Heartbreak_Station|13
Only_in_My_Dreams|9
Thug_Matrimony:_Married_to_the_Streets|14
Astral_Weeks_Live_at_the_Hollywood_Bowl|16
Genesis_Archive_2:_1976–1992|15
ØØ_Void|10
Last_Train_to_London|9
Sweet_Sacrifice|16
Listennn..._the_Album|8
Not_Available|9
Night_Boat_to_Cairo|11
Mostasteless|8
Kind_Hearted_Woman_Blues|11
Piet_Mondrian|15
A_Series_of_Sneaks|12
Prove_Your_Love|11
Sock_It_2_Me|12
Loving_Proof|11
Louis_Philippe_II,_Duke_of_Orléans|12
Down_in_the_Flood|9
Having_a_Rave_Up|15
Days_of_Purgatory|12
A_Thousand_Different_Ways|15
Amputechture|10
Liebe_ist_für_alle_da|16
Beyond_the_Blue_Neon|8
Cory_Doctorow|15
Jacco_Eltingh|11
Black_Country_Woman|10
Pearl_Jam_Official_Bootlegs|10
Drowned_World/Substitute_for_Love|16
Pau-Latina|12
Fake_Plastic_Trees|8
Deep_Water_Slang_V2.0|13
A.K.A._I-D-I-O-T|13
I_Got_It_from_My_Mama|14
Shoot_to_Thrill|16
Blue_Skies,_Broken_Hearts...Next_12_Exits|15
Jóga|12
Frederico_Gil|15
Live_at_the_Roxy_Theatre|16
Hey_Ma|13
Benigno_Aquino_III|16
Whenever_God_Shines_His_Light|13
Boris_Pasternak|12
Galway_Girl|16
Just_Want_You_to_Know|10
Karina_Habšudová|12
Disneymania|12
Right_About_Now:_The_Official_Sucka_Free_Mix_CD|9
Bobby_Digital_in_Stereo|8
Ed_Hunter|11
Wiped_Out|11
Follow_the_Reaper|16
Mother_Popcorn|14
Unskinny_Bop|13
Mixed_Up|11
Black_Sabbath:_The_Dio_Years|14
Run_the_Show|12
See_That_My_Grave_Is_Kept_Clean|14
You_Dropped_a_Bomb_on_Me|13
Introduce_Yourself|11
Til_the_Casket_Drops|9
The_Beatles_in_Mono|11
Foiled|9
Da_Drought_3|13
Heavy_Horses|16
Move_Your_Body|12
Mountain_Jam|11
He_Could_Be_the_One|15
Lionel_Messi|12
Sound_of_Freedom|9
Rooty|9
I_See_a_Star|15
Black_and_White_Town|16
Do_You_Want_the_Truth_or_Something_Beautiful?|13
Money_Money|9
Cannot_Buy_My_Soul|16
Gloryhallastoopid|8
Return_to_Cookie_Mountain|13
Return_to_the_Sea|16
GBI:_German_Bold_Italic|13
Make_It_Rain|11
Bust_It_Baby|13
Every_Time_I_Think_of_You|16
When_the_Sun_Comes_Out|13
Daniel_Vacek|12
Rusty_Cage|14
Maybe_You_Should_Drive|10
Clash_on_Broadway|16
Chaos_in_Motion_2007–2008|13
Chūzan|16
Things_to_Make_and_Do|16
Juanes|10
Ribbed|16
Velocifero|11
Decade:_Greatest_Hits|9
Survival_Skills|14
Love_Boat_Captain|15
Ostalo_je_ćutanje|15
AT&T_Team_USA_Soundtrack|10
The_Great_Escape_Artist|10
L.E.S._Artistes|11
His_Eye_Is_on_the_Sparrow|8
Walk_It_Out|9
Blame_It_on_Your_Heart|14
Beats,_Rhymes_and_Life|13
Elect_the_Dead|10
Make_Me_Wanna_Die|8
American_Edit|15
Ultimate_Christmas|10
Living_Dead_Girl|13
Shoot_from_the_Hip|10
Wild_Mood_Swings|12
Attack_&_Release|11
Forever_My_Lady|16
Red_Medicine|14
The_Professional_2|15
Nothing_Fails|11
More_Adventurous|16
Suffer_Well|10
They_Only_Come_Out_at_Night|12
Sexy_movimiento|12
Down_III:_Over_the_Under|12
The_Pack_Is_Back|10
I_Need_a_Dollar|9
Given_to_Fly|14
Slappy|11
Legend_of_a_Mind|11
Jesus_He_Knows_Me|13
Donald_Bradman|13
Shake_Ya_Ass|10
20_Años|13
Goddamnit|9
Love_Is_Like_an_Itching_in_My_Heart|12
In_Love_&_War|12
Step_in_the_Name_of_Love|14
Anywhere_but_Home|11
A_Love_Song|14
Übers_Ende_der_Welt|14
Sick,_Sick,_Sick|10
England_Keep_My_Bones|10
Slip_It_In|15
Mississippi_Girl|8
The_Heart_of_Everything|16
Hot_Streets|14
Shaolin_vs._Wu-Tang|11
Celtic_Woman:_A_New_Journey|12
All_She_Wants_Is|9
It_Hurts_Me_Too|15
Outside_of_a_Small_Circle_of_Friends|12
Generation_Swine|10
Waiting_for_the_Worms|13
Let_Me_Think_About_It|13
Video_Greatest_Hits_–_HIStory|15
Teargarden_by_Kaleidyscope|10
Manuel_L._Quezon|15
So_Much_for_the_City|11
Après_toi|11
In_and_Out_of_Consciousness:_Greatest_Hits_1990–2010|15
Shoo-Be-Doo-Be-Doo-Da-Day|9
The_Original_Bootlegs|15
Venus_and_Mars/Rock_Show|10
The_Makings_of_Me|13
Music_of_the_Katamari_Damacy_series|9
Boss_of_All_Bosses|8
Falsas_esperanzas|16
Time_Has_Come_Today|14
In_My_Time_of_Dying|16
Half_the_World_Away|16
Invasion_of_Your_Privacy|8
John_V_of_Portugal|10
Juan_Carlos_Ferrero|16
I_Cross_My_Heart|11
Henryk_Sienkiewicz|13
I_Get_Money|8
Silent_All_These_Years|13
Gutter_Ballet|11
Farouk_of_Egypt|9
Nick_Cave|11
Gambling_with_the_Devil|10
Dusk..._and_Her_Embrace|13
Half_the_World_Is_Watching_Me|10
Former_Yan|10
Lil_Freak|8
200_Po_Vstrechnoy|10
Savoir_aimer|15
Sexed_Up|13
Bring_On_the_Rain|12
Bounce_with_Me|11
The_Beau_Brummels,_Volume_2|13
Merkin_Ball|16
The_Supermen|15
Das_ist_nicht_die_ganze_Wahrheit...|9
Them_vs._You_vs._Me|12
Gravel_Pit|14
Better_Than_Raw|11
The_Best_Thing_About_Me_Is_You|9
Beast_and_the_Harlot|9
Miles:_The_New_Miles_Davis_Quintet|14
Cross_Purposes|14
Go_On...|9
You_and_Me_Both|16
Da_Da_Da|9
Retrospective_I|10
The_Notorious_K.I.M.|10
32-20_Blues|8
George_Berkeley|11
U.N.I.T.Y.|8
Signify|8
D.o.A:_The_Third_and_Final_Report_of_Throbbing_Gristle|14
Get_Sexy|15
Strawberry_Jam|11
Rock_and_a_Hard_Place|16
Greatest_Day|14
Only_U|12
If_I_Never_Knew_You|16
Whoracle|10
Celebration:_The_Video_Collection|13
Cali_Iz_Active|15
Back_in_the_Saddle|14
Trance-Fusion|8
Judy_Davis|10
Metal_Magic|12
Gotta_Get_Away|13
Waiting_for_an_Alibi|15
No_Expectations|15
No_Son_of_Mine|15
Like_You|8
If_God_Will_Send_His_Angels|8
Golden_Heart|16
Aeschylus|8
In_Person_Friday_and_Saturday_Nights_at_the_Blackhawk,_Complete|10
Grave_New_World|14
Aie_a_Mwana|13
Re-Rewind|16
The_Last_Thing_on_My_Mind|9
Baby-Baby-Baby|11
Clayman|15
Being_Boiled|9
Reckoner|14
Iris_Murdoch|8
The_Hunger_for_More|12
Me_So_Horny|9
More_Fish|9
