tag:STRING|delta:INT
Robbie_Keane|12
Jakob_Hlasek|11
Marie_Curie|12
Let_Love_Be_Your_Energy|8
Be_My_Wife|13
The_Sky_Moves_Sideways|15
Halber_Mensch|12
Come_On_Feel_The_Lemonheads|12
Made_of_Stone|11
Take_It_Like_a_Man|8
Doubleback|13
Richard_Krajicek|15
Idolator|10
Beauty_&_the_Streets_Vol._1|14
Odbrana_i_poslednji_dani|16
Project_1950|11
Fallen_Leaves|9
Ruud_van_Nistelrooy|12
Never,_Never,_Land|10
WOW_Hits_2011|11
Ever_Dream|13
If_Looks_Could_Kill|15
Anton_Bruckner|12
If_You_Wanna_Be_Happy|10
Lying_from_You|8
Songs_of_David_Byrne_and_Brian_Eno_Tour|8
Like_an_Old_Fashioned_Waltz|14
Gemini_Dream|14
Tweeter_and_the_Monkey_Man|8
Superfuzz_Bigmuff|15
Fight_Like_a_Brave|9
Yanina_Wickmayer|13
WOW_Hits_2010|10
Life_Got_Cold|15
Ian_Rush|9
Mic_City_Sons|11
Dying_to_Say_This_to_You|13
Nicole_Bradtke|11
God_&_Guns|13
Back_to_the_Known|16
Adam_Gilchrist|16
František_Čermák|13
We_Danced_Anyway|10
Hard_to_Believe:_Kiss_Covers_Compilation|15
Hier_kommt_Alex|15
Peter_Brock|14
Agnieszka_Radwańska|15
William_III_of_the_Netherlands|16
The_Soothsayer|16
Gipsy.cz|16
Entre_el_mar_y_una_estrella|10
Rosa_Luxemburg|14
Kiss_Me_Good-Bye|9
In_View:_The_Best_of_R.E.M._1988–2003|16
Caught_by_the_Fuzz|14
Ferdinand_II,_Holy_Roman_Emperor|13
Sunrise_Over_Sea|16
Brian_Cowen|14
Back_to_Tennessee|13
Buffy_the_Vampire_Slayer:_Radio_Sunnydale_–_Music_from_the_TV_Series|15
Henry_Morton_Stanley|12
Live_at_Benaroya_Hall|11
Screaming_Life|13
A_Son_de_Guerra|10
Toni_Collette|9
Willem_de_Kooning|14
Lay_Down|13
Mariya_Koryttseva|16
Johnny_and_Mary|14
Mexico_En_La_Piel|14
Disneymania_7|9
Iris_Murdoch|8
